
А
Абакус Прайм, СЭ 280 - стр 
Калибр Дуо, ВДГ 632 - стр 
Калибр, ВДГ 631 - стр 
Калина, КС 132 - стр 
Калипсо, КС 133 - стр 
Каллисто, СК 547 - стр 
Камаро, СЭ 408 - стр 
Камелин, КЭ 530 - стр 
Камелот, СЭ 619 - стр 
Камертон Ультра, СП 246 - стр 
Канон, КЭ 432 - стр 
Канонир Дуо, КС 93 - стр 
Кантик, КЭ 309 - стр 
Кантор, ККР 384 - стр 
Кантус, ВДГ 220 - стр 
Капелла, МЭ 295 - стр 
Капилео, КЭ 522 - стр 
Капрено, КС 624 - стр 
Каптора Плюс, ВРК 506 - стр 
Каптора, ВРК 504 - стр 
Караван, СП 662 - стр 
Карамба Дуо, КЭ 273 - стр 
Карамба Дуо, КЭ 273 - стр 
Карамба, КЭ 273 - стр 
Карамболь, СП 663 - стр 
Каратель, ВДГ 98 - стр 
Каратошанс, КЭ 107 - стр 
Каратэ Зеон, МКС 109 - стр 
Карачар, КЭ 103 - стр 
Карбезим, КС 250 - стр 
Карбонадо, ТПС 836 - стр 
Карбофот, КЭ 120 - стр 
Карбоцин, ТАБ 157 - стр 
Кардинал 500, КС 249 - стр 
Кардон, КС 247 - стр 
Карзибел, КС 250 - стр 
Карзитек, КС 251 - стр 
Кари-Макс, СП 661 - стр 
Кари-Макс-Флюид, МД 660 - стр 
Кариал Флекс, ВДГ 256 - стр 
Карибу Дуо Актив, ВДГ 546 - стр 
Карибу С, ВДГ 660 - стр 
Карибу, ВДГ 660 - стр 
КариПро, ВДГ 661 - стр 
Каритори, ВДГ 592 - стр 
Каришанс, ВДГ 662 - стр 
Карнаби, ВДГ 663 - стр 
Карповирусин, СК 54 - стр 
Карриджу, ВДГ 661 - стр 
Каскад Премиум, ВДГ 636 - стр 
Каспер, ВРК 493 - стр 
Кассиус, ВРП 603 - стр 
Касумин 2Л, ВР 253 - стр 
Квадрис, СК 206 - стр 
Квартет, КС 49 - стр 
Квартет, КС 49 - стр 
Квестор Форте, КС 143 - стр 
Квестор, КС 143 - стр 
Квестор, КС 143 - стр 
Квизурил, КЭ 519 - стр 
Квикстеп, МКЭ 527 - стр 
Квикстеп, МКЭ 527 - стр 
Квикфос, ТАБ 35 - стр 
Кельвин Плюс, ВДГ 487 - стр 
Кентавр, ВДГ 679 - стр 
Киборг, КС 619 - стр 
Кидека, КС 548 - стр 
Килрат Супер, ГР 167 - стр 
Кинг Комби, КС 49 - стр 
Кинг Комби, КС 49 - стр 
Кинмикс, КЭ 50 - стр 
Кинто Дуо, КС 349 - стр 
Кинто Плюс, КС 368 - стр 
Кинфос Нео, КЭ 69 - стр 
Кинфос, КЭ 69 - стр 
Кипер, КС 139 - стр 
Кирай, ВР 544 - стр 
Кираса, ВДГ 100 - стр 
Клад, КС 332 - стр 
Классик Форте, ВДГ 637 - стр 
Клегал, МКЭ 528 - стр 
Клеймор, СК 360 - стр 
Клео, ВДГ 536 - стр 
Клеопатра, КЭ 22 - стр 
Клерат, Г 168 - стр 
Клерк, КЭ 522 - стр 
Клетодим Плюс Микс, КЭ 525 - стр 
Клетошанс, КЭ 526 - стр 
Клик 500, КС 623 - стр 
Климат, серная дымовая шашка 128 - стр 
Клипер, КЭ 51 - стр 
Клонрин, КЭ 99 - стр 
Клопер 750, ВДГ 536 - стр 
Клопирид, ВДГ 540 - стр 
Клопэфир, КЭ 411 - стр 
Клордин, КЭ 530 - стр 
Клорит, ВР 534 - стр 
Клотиамет Дуо, КС 101 - стр 
Клотиамет, ВДГ 97 - стр 
Клотиамет, ВДГ 97 - стр 
Клотиамет-С, КС 98 - стр 
Клотианидин Про, КС 99 - стр 
Клубнещит, КС 95 - стр 
Клубнещит, КС 95 - стр 
Кобальт, КМЭ 287 - стр 
Кобра, КЭ 589 - стр 
Когорта, ВГР 427 - стр 
Койот, КС 88 - стр 
Койра, КС 147 - стр 
Колосаль Про, КМЭ 292 - стр 
Колосаль, КЭ 316 - стр 
Колфуго Супер, КС 249 - стр 
Командор Макси, ВДГ 81 - стр 
Командор, ВРК 80 - стр 
Команч, КЭ 531 - стр 
Комиссар, КЭ 293 - стр 
КомКат, ВРП 746 - стр 
Комманд, КЭ 530 - стр 
Компакт, КС 374 - стр 
Комфорт, КС 247 - стр  
Конвизо 1, МД 685 - стр 
Кондор Форте, МД 662 - стр 
Кондор, ВДГ 662 - стр 
Конрад, КС 86 - стр 
Консенто, КС 283 - стр 
Консул, КС 375 - стр 
Контадор Макси, КС 86 - стр 
Контадор, ВРК 86 - стр 
Контакт, ВДГ 561 - стр 
Конфибой, ВРК 78 - стр 
Конфиделин Супер, ВДГ 79 - стр 
Конфиделин, ВРК 81 - стр 
Конфидор Экстра, ВДГ 86 - стр 
Концепт, МД 507 - стр 
Кораген, КС 148 - стр 
Корадо Лайт, КС 79 - стр 
Корадо, ВРК 79 - стр 
Кордус Плюс, ВДГ 489 - стр 
Кордус, ВДГ 587 - стр 
Коренастый, ВК 874 - стр 
Коренник, СП 736 - стр 
Корень Супер, ВРГ 734 - стр 
Корень Супер, ВРГ 734 - стр 
Корлеоне, КЭ 486 - стр 
Корморан, КЭ 125 - стр 
Корневин, СП 734 - стр 
Корнеги, СЭ 623 - стр 
Корней, СП 735 - стр 
Корнерост М, КРП 737 - стр 
Корнестим, СП 735 - стр 
Корникос, КС 585 - стр 
Корректор, ВР 543 - стр 
Коррида, ВДГ 648 - стр 
Корсар Супер, ВРК 425 - стр 
Корсар, ВРК 419 - стр 
Кортлис, ВРК 80 - стр 
Корум, ВРК 426 - стр 
Косайд 2000, ВДГ 263 - стр 
Косайд Супер, ВДГ 264 - стр 
Космик Турбо, ВРГ 472 - стр 
Костандо, КЭ 863 - стр 
Кратерр, КС 594 - стр 
Крафт, ВЭ 22 - стр 
Кредо, СК 250 - стр 
Крёз, КС 255 - стр 
Крезаксин, ВДГ 254 - стр 
Крезацин, КРП, ТАБ 815 - стр 
Крезолан, ВР 815 - стр 
Крейцер, ВДГ 588 - стр 
Крепень, ВР 875 - стр 
Крептон, КРП, ВРКАП 818 - стр  
Кристалл, КС 389 - стр 
Кротомет, Г 181 - стр 
Кругозор, КС 136 - стр 
Круйзер Рапс, КС 140 - стр 
Круйзер, КС 137 - стр 
Круйзер, КС (350 г/л) 137 - стр 
Круйзер, КС (600 г/л) 137 - стр 
Круцифер, ВР 544 - стр 
Кумир, СК 269 - стр 
Кумулус ДФ, ВДГ 311 - стр 
Кунгфу Супер, КС 140 - стр 
Кунгфу, КЭ 103 - стр 
Купаж, ВДГ 630 - стр 
Купидон Голд, СП 263 - стр 
Куприкол, КОЛР 378 - стр 
Купроксат, КС 269 - стр 
Купролюкс, СП 271 - стр 
Курант, ГР 169 - стр 
Курзат Р, СП 379 - стр 
Куррито, КС 113 - стр 
Курсар, ВР 501 - стр 
Кустодия, КС 210 - стр 
Кэнсел, КС 370 - стр 

Л
Лабрадор, КЭ 597 - стр 
Лазурит Супер, КНЭ 558 - стр 
Лазурит Т, СП 559 - стр 
Лазурит Ультра, СК 559 - стр 
Лазурит, СП 557 - стр 
Лайфлайн, ВР 473 - стр 
Лайфлайн, ВР 473 - стр 
Лама, КЭ 672 - стр 
Ламадор Про, КС 307 - стр 
Ламадор, КС 304 - стр 
Ламбада, СЭ 408 - стр 
Ланкастер, КЭ 522 - стр 
Ланнат, СП 123 - стр 
Ланта, КС 348 - стр 
Ланцелот 450, ВДГ 416 - стр 
Ларен Мет Про, ВДГ 575 - стр 
Ларен Про, ВДГ 567 - стр 
Лариксифол, ВЭ 802 - стр 
Ларимар, ТКС 332 - стр 
Ларт, ВР 485 - стр 
Лассо, КЭ 104 - стр 
Ластик Топ, МКЭ 673 - стр 
Ластик Топ, МКЭ 673 - стр 
Ластик Экстра, КЭ 667 - стр 
Лаудис, ВДГ 623 - стр 
Левират, КЭ 395 - стр 
Легат, КЭ 527 - стр 
Легенда, МД 549 - стр 
Легион Комби, КЭ 524 - стр 
Легион, КЭ 524 - стр 
Легион, КЭ 524 - стр 
Легионер, КЭ 679 - стр 
Лемур, КЭ 519 - стр 
Лентагран 600, КЭ 592 - стр 
Лепидобактоцид, Ж 9 - стр 
Лепидоцид, П 9 - стр
Лептоцид, Ж 14 - стр 
Лерашанс, ВР 545 - стр 
Либертадор, СК 381 - стр 
Лигат, КЭ 528 - стр 
Лидер, КЭ 698 - стр 
Ликвидатор, ВР 428 - стр 
Линтаплант, ВК 579 - стр 
Линтур, ВДГ 487 - стр 
Лирум, СК 153 - стр 
Листего Про, ВР 500 - стр 
Логано, КС 547 - стр 
Логран, ВДГ 639 - стр 
Локустин, КС 74 - стр 
Лонган, ВР 533 - стр 
Лонтерр, ВДГ 534 - стр 
Лонтрел гранд, ВДГ 535 - стр 
Лонтрел-300, ВР 531 - стр 
Лорнет, ВР 532 - стр 
Лост, ВР 708 - стр 
Лост, ВР 708 - стр 
Луна Транквилити, КС 369 - стр 
Луна Экспириенс, КС 369 - стр 
Люгер, СЭ 396 - стр 
Люмакс, СЭ 620 - стр 
Люмипоса, ТС 153 - стр 
Люмисена, ТС 274 - стр 
Люфокс, КЭ 146 - стр 
Лямбда-С, КЭ 105 - стр 

М
Маврик, ВЭ 131 - стр 
Магна, ТАБ 115 - стр 
Магнат Тотал, КС 366 - стр 
Магнелло, КЭ 229 - стр 
Магнифос, ТАБ 117 - стр 
Магнум Супер, ВДГ 657 - стр 
Магнум, ВДГ 564 - стр 
Магтоксин, ТАБ 115 - стр 
Мадекс Твин, СК 53 - стр 
Маис, СТС 609 - стр 
МайсТер Пауэр, МД 686 - стр 
МайсТер, ВДГ 686 - стр 
Макси Злак, КЭ 522 - стр 
Максим 480, КС 361 - стр 
Максим Адванс, КС 335 - стр 
Максим Голд, КС 364 - стр 
Максим Дачник, КС 361 - стр 
Максим Кватро, КС 335 - стр 
Максим Плюс, КС 231 - стр 
Максим Плюс, КС 231 - стр 
Максим Форте, КС 365 - стр 
Максим Экстрим, КС 366 - стр 
Максим, КС 361 - стр 
Малахит, ВДГ 554 - стр 
Малвин, ВДГ 247 - стр 
Малибу, ВДГ 662 - стр 
Мамба, КЭ 25 - стр 
Манзат, ВДГ 257 - стр 
Манифест, ВДГ 260 - стр 
Манкодим, СП 258 - стр 
Манкоцеб, СП 257 - стр 
Мантра, ВРК 506 - стр 
Манфил, СП 257 - стр 
Мариус, КС 554 - стр 
Масай, СП 132 - стр 
МатринБио, ВР 122 - стр 
Матрица Роста, ВРК 858 - стр 
Матч, КЭ 102 - стр 
Маэстро, КЭ 301 - стр 
Мегалит, ВР 545 - стр 
Мегаполис, ВР 473 - стр 
Мегаполис, ВР 473 - стр 
Медвегон, Г 60 - стр 
Медветокс, Г 59 - стр 
Медея, МЭ 231 - стр 
Мезокорн, КС 547 - стр 
Меис, КС 547 - стр 
Мекар, МЭ 22 - стр 
Мелафен, ВР 810 - стр 
Мелион, КС 587 - стр 
Мелория, КС 141 - стр 
Меридиан, ВР 544 - стр 
Мерлин Флекс, КС 492 - стр 
Мерлин, ВДГ 491 - стр 
Мерпан, СП 247 - стр 
Мессер, МЭ 365 - стр 
Мессидор, КС 856 - стр 
Метабактерин, СП 194 - стр 
Метабром-РФО, Газ 159 - стр  
Метаксил, СП 259 - стр 
МетАлт, ВДГ 563 - стр 
Метамил МЦ, ВДГ 259 - стр 
Метаризин, Ж 16 - стр 
Метарон, ВДГ 553 - стр 
Метас, ВР 501 - стр 
Метафол, СК 554 - стр 
Меташанс, СП 259 - стр 
Метеор, СП 263 - стр 
Меткий, МД 549 - стр 
Метметил, ВДГ 572 - стр 
Метолс, КЭ 618 - стр 
Метомакс, КС 124 - стр 
Метрифар 70, ВГ 556 - стр 
Метроном, КС 553 - стр 
Мивал-Агро, КРП 818 - стр 
Мидас, СЭ 413 - стр 
Микромецен, ВР 814 - стр 
Микротиол Специаль, ВДГ 312 - стр 
Миксанил, КС 381 - стр 
МиксФил, КС 209 - стр 
Милагро Плюс, МД 487 - стр 
Милафорт, КС 585 - стр 
Милдикат, КС 377 - стр 
Миледи, КС 583 - стр 
Милена, КС 584 - стр 
Минотавр, ВДГ 552 - стр 
Минхати, КС 371 - стр 
Миравис Нео, СЭ 290 - стр  
Миравис, СК 276 - стр 
Мистерия, МЭ 281 - стр 
Мистраль Топ, КС 563 - стр 
Митар, ВДГ 342 - стр 
Митрон, КС 552 - стр 
Миура, КЭ 688 - стр 
Мицефит, ВРП 861 - стр 
Мовенто Энерджи, КС 130 - стр 
Моддус, КЭ 863 - стр 
Модерн, КЭ 404 - стр 
Модесто Плюс, КС 102 - стр 
Модесто Плюс, КС 102 - стр 
Модесто, КС 99 - стр 
Моксимэйт, СП 261 - стр 
Молетокс, КЭ 157 - стр  
Молния Экстра, КЭ 156 - стр 
Молния, КЭ 106 - стр 
Молоток, ВР 711 - стр 
Момус, ВРК 581 - стр 
Монарх, ВДГ 147 - стр 
Монолит, ВДГ 541 - стр 
Мономакс, ВР 483 - стр 
Мономакс, ВР 483 - стр 
Морион, СК 493 - стр 
Мортира, ВДГ 648 - стр 
Морторат, Г 171 - стр 
Моспилан, РП 47 - стр 
Мохофф, МКЭ 589 - стр 
Муравьин Форте, Г 81 - стр 
Муравьин, Г 58 - стр 
Мурал, ВР 485 - стр 
Мухоед, Г 58 - стр 
Мушкет Плюс, МД 391 - стр 
Мэр, КС 557 - стр 

Н
Наномет, СП 570 - стр 
Наношанс, ВР 422 - стр 
Напалм-480, ВР 436 - стр 
Нарвал, КС 587 - стр 
Нарис, СК 427 - стр 
Наутиль, ВДГ 262 - стр 
Нексус, ВР 683 - стр 
Нематофагин-Микопро, П 165 - стр 
Неофрал, КЭ 26 - стр 
Нерта, КС 493 - стр 
Нертус ПланетаПег, Ж 855 - стр 
Никобел, КС 585 - стр 
Никос, КС 586 - стр 
Никосав, МД 586 - стр 
Ниссин Экстра, МД 585 - стр 
Ниссин, КС 585 - стр 
Ниссоран, СК 55 - стр  
Новинс, КС 73 - стр 
Новосил, ВЭ 863 - стр 
Новус-Ф, КС 375 - стр 
Номини Суприм, СЭ 550 - стр 
Номини, СК 427 - стр 
Нопас, ВЭ 205 - стр 
Нопасаран Ультра, КС 520 - стр 
Нопасаран, КС 550 - стр 
Нор-Би, СП 220 - стр 
Норат, Г 175 - стр 
Норвел, КЭ 690 - стр 
НордСтрим, ВДГ 591 - стр 
Норман, ВДГ 645 - стр 
Нунчак, КЭ 144 - стр 
Нурбел, КЭ 151 - стр 
Нуримет Экстра, КЭ 151 - стр 
Нэо, ВДГ 587 - стр 

О 
ОбеpeгЪ, Р 757 - стр 
Оберон Рапид, КС 22 - стр 
Обстактин, ВР 737 - стр 
Обстормон, ВР 737 - стр 
Овен, КЭ 529 - стр 
Овсюген Супер, КЭ 666 - стр 
Овсюген Экспресс, КЭ 665 - стр 
Одиссей, ВГР 515 - стр 
Оксихом, ВДГ 265 - стр 
Оксихом, СП 265 - стр 
Октава, МД 588 - стр 
Октапон экстра, КЭ 390 - стр 
Октапон-супер, КЭ 390 - стр 
Октасулам, СЭ 398 - стр 
Октиген, КЭ 391 - стр 
Олимп, ВДГ 663 - стр 
Омайт, ВЭ 128 - стр 
Оперкот Акро, КС 93 - стр 
Оперкот, КЭ 106 - стр 
Оплот Трио, ВСК 230 - стр 
Оплот, ВСК 228 - стр 
Опричник, СЭ 397 - стр 
Оптимо, КЭ 277 - стр 
Оптимум, ВР 482 - стр 
Орбита Люкс, КЭ 145 - стр 
Орбита, КЭ 57 - стр 
Орвего, КС 221 - стр 
Оргамика С, Ж 184 - стр 
Оргамика Ф, Ж 933 - стр 
Органза, КС 111 - стр 
Ордан МЦ, СП 261 - стр 
Ордан, СП 271 - стр 
Ореол, КЭ 432 - стр 
Оризан, МСК 416 - стр 
Орикс, КЭ 673 - стр 
Орион, КЭ 431 - стр 
Орлан, МК 551 - стр 
Ортус, СК 146 - стр 
Осирис, КЭ 386 - стр 
Оскар, КЭ 280 - стр 
Острог, МК 26 - стр 
Отличник, КЭ 687 - стр 
Оцелот Плюс, КЭ 668 - стр 
Оцелот, КЭ 668 - стр 

П
Палица, Г 164 - стр 
Палко, КС 833 - стр 
Паллас 45, МД 592 - стр 
Пальмира, СЭ 405 - стр 
Пантера, КЭ 518 - стр 
Пантера, КЭ 518 - стр 
Панцирь, КС 138 - стр 
Парадокс, ВРК 496 - стр 
Партенокарпин-Био, Р 738 - стр 
Патрий, КЭ 154 - стр 
Патрон, ВДГ 634 - стр 
Пеннкоцеб, СП 257 - стр 
Пергадо Зокс, ВДГ 256 - стр 
Пергадо М, ВДГ 256 - стр 
Пешка-С, серная насыпная шашка 311 - стр 
Пешка-С, серная насыпная шашка 311 - стр 
Пивот, ВК 511 - стр 
Пик, ВДГ 600 - стр 
Пикет, КЭ 29 - стр 
Пикокарб, СК 283 - стр 
Пиксель, МД 636 - стр 
Пиктор Актив, КС 278 - стр 
Пиктор, КС 222 - стр 
Пилот, ВСК 552 - стр 
Пиноцид, СК 33 - стр 
Пинта, МД 681 - стр 
Пионер, КС 336 - стр 
Пиранья, КЭ 589 - стр 
Пирафикс, КЭ 278 - стр 
Пирелли, КЭ 150 - стр 
Пиригрэн 50, Ж 126 - стр 
Пиринекс Супер, КЭ 150 - стр 
Питомец, КС 139 - стр 
Питон, КЭ 598 - стр 
Плантарел, ВР 805 - стр 
Плантенол, КЭ 226 - стр 
Пледж, СП 681 - стр 
Плектор, ВДГ 478 - стр 
Пленум, ВДГ 125 - стр 
Плодостим, КРП 774 - стр 
Плуггер, ВДГ 658 - стр 
Подмарин, КЭ 401 - стр 
Позитив Плюс, КС 595 - стр 
Покровитель, КС 95 - стр 
Покровитель, КС 95 - стр 
Полар 50, ВГ 204 - стр 
Поларис Кватро, СМЭ 49 - стр 
Поларис Кватро, СМЭ 49 - стр 
Поларис, МЭ 308 - стр 
Полгар 7.5, КЭ 676 - стр 
Полгар, КЭ 675 - стр 
Полирам ДФ, ВДГ 272 - стр 
Полис, ВР 708 - стр 
Пондус, КС 133 - стр 
Пончо Бета, КС 99 - стр 
Пончо, КС 98 - стр 
Почин, Г 59 - стр 
Почкорост, ПС 883 - стр 
Премис Двести, КС 347 - стр 
Премьер 300, ВР 539 - стр 
Премьера, СЭ 398 - стр 
Препарат 30 Плюс, ММЭ 53 - стр 
Престиж, КС 94 - стр 
Престиж, КС 94 - стр 
Префект, ВДГ 603 - стр 
Приаксор, КЭ 279 - стр 
Приам, КЭ 382 - стр 
Привент, СП 346 - стр 
Приклад, ВДГ 536 - стр 
Прима Форте 195, СЭ 391 - стр 
Прима, СЭ 405 - стр 
Примавера, СЭ 408 - стр 
Примадонна Супер, ККР 406 - стр 
Примадонна, СЭ 405 - стр 
Примэкс, КС 347 - стр 
Приоритет, КС 583 - стр 
Пришанс, СЭ 407 - стр 
Провизор, СК 206 - стр 
Провотокс, Г 60 - стр 
Прогноз, КЭ 286 - стр 
Прозаро Квантум, КЭ 305 - стр 
Прозаро, КЭ 304 - стр 
Проклэйм Фит, ВДГ 256 - стр 
Проклэйм, ВРГ 158 - стр 
Прокроп, КЭ 126 - стр 
Проксима, КС 366 - стр 
Прокул, КЭ 598 - стр 
Промекс, КС 595 - стр 
Промет, КС 595 - стр 
Прометей, ВДГ 650 - стр 
Прометрин, СК 594 - стр 
Промобел, КС 594 - стр 
Пронто, КЭ 598 - стр 
Пропи Плюс, КЭ 286 - стр 
Пропишанс Супер, КЭ 300 - стр 
Пропишанс Универсал, КМЭ 293 - стр 
ПропиШанс, КЭ 289 - стр 
Пропонит Дуо, КЭ 600 - стр 
Пропонит, КЭ 598 - стр 
Пропульс, СЭ 369 - стр 
Пропус, ВР 495 - стр 
Проросток, Р 763 - стр 
Протазокс, КС 209 - стр 
Протего Макс, МЭ 302 - стр 
Протект Форте, ВСК 377 - стр 
Протект, КС 362 - стр 
Протеус, МД 133 - стр 
Протон Экстра, ВДГ 266 - стр 
Протон, СП 266 - стр 
Профи Супер, КЭ 297 - стр 
Профи Форте, КМЭ 294 - стр 
Профи, КЭ 287 - стр 
Профикс, КЭ 286 - стр 
Профилактин Био, ВЭ 53 - стр 
Профилактин Лайт, ВЭ 52 - стр 
Профит Голд, ВДГ 354 - стр 
Псевдобактерин-2, Ж 195 - стр 
Псевдобактерин-2, ПС 195 - стр 
Псевдобактерин-3, Ж 196 - стр 
Пугил 500, КС 381 - стр 
Пульмакс, ВРК 502 - стр 
Пульс-Стар, ВР 495 - стр 
Пульсар Плюс, ВР 494 - стр 
Пульсар Старт, ВРК 495 - стр 
Пульсар, ВР 493 - стр 
Пума Голд, КЭ 673 - стр 
Пума Плюс, КЭ 583 - стр 
Пума Супер 100, КЭ 675 - стр 
Пума Супер 7.5, ЭМВ 675 - стр 

Р
Рабона, СЭ 308 - стр 
Раёк, КЭ 226 - стр 
Разряд, Г 81 - стр 
Раймир, КЭ 150 - стр 
Раксил Ультра, КС 322 - стр 
Раксон, КС 320 - стр 
Ракурс, СК 388 - стр 
Раназол Ультра, КС 318 - стр 
Ранголи Галситил, КЭ 431 - стр 
Ранголи-Базорон, ВР 422 - стр 
Ранголи-Гильотина, ВДГ 556 - стр 
Ранголи-Глифосат 480, ВР 442 - стр 
Ранголи-Дункан, КЭ 67 - стр 
Ранголи-Имидоклоприд, ВРК 88 - стр 
Ранголи-Курсор, КЭ 227 - стр 
Ранголи-Метамитрон, КС 554 - стр 
Ранголи-Норил, КЭ 151 - стр 
Ранголи-Прадо, ВРК 514 - стр 
Ранголи-Реголон, ВР 706 - стр 
Ранголи-Таргон-С, КЭ 690 - стр 
Ранголи-Тиран, ВДГ 604 - стр 
Ранголи-Трибенурон, ВДГ 653 - стр 
Ранголи-Ципрос, КЭ 297 - стр 
Ранман Топ, КС 381 - стр 
Рап 600, ВР 470 - стр 
Рапид Голд Плюс, СП 271 - стр 
Рапид Голд, СП 261 - стр 
Рапид Дуэт, СП 258 - стр 
Рапид Микс, СП 259 - стр 
Рапира, КЭ 390 - стр 
РапсАгро, ВР 545 - стр 
Рапсан, ВР 544 - стр 
Ратник, КЭ 702 - стр 
Раттидион, Г 176 - стр 
Раттикум, Концентрат 173 - стр 
Рауль, ВР 443 - стр 
Раундап Макс, ВР 436 - стр 
Раундап, Гель 429 - стр 
Ребелл Т, КС 520 - стр 
Ревиона, КС 576 - стр 
Ревус Топ, СК 256 - стр 
Ревус, КС 256 - стр 
Регалис Плюс, ВДГ 856 - стр 
Регалис, ВДГ 856 - стр 
Регент, ВДГ 147 - стр 
Регистан, ВРК 711 - стр 
Реглон Форте, ВР 490 - стр 
Реглон Форте, ВР 490 - стр 
Реглон Эйр, ВР 707 - стр 
Регулар, ВРП 798 - стр 
Регулят Супер, ВР 713 - стр 
Редиго М, КС 306 - стр 
Редиго Про, КС 305 - стр 
Редут, КС 318 - стр 
Результат Супер, ВР 712 - стр 
Рейсер, КЭ 682 - стр 
Рекрут, КС 386 - стр 
Рекс Плюс, СЭ 387 - стр 
Рекс Плюс, СЭ 387 - стр 
Рекс С, КС 386 - стр 
Ректон, ВР 709 - стр 
Ректор, КС 95 - стр 
Ректор, КС 95 - стр 
Рембек, Г 81 - стр 
Репер Трио, МД 546 - стр 
Репер, ККР 546 - стр 
Респект, КС 94 - стр 
Респект, КС 94 - стр 
Респекта, Ж 915 - стр 
Рессиви, КС 218 - стр 
Рестарт, Ж 754 - стр 
Ретацел, ВК 874 - стр 
Рефери, ВГР 485 - стр 
Риас, КЭ 228 - стр 
Рибав-Экстра, P 749 - стр 
Ридомил Голд МЦ, ВДГ 260 - стр 
Ридомил Голд Р, ВДГ 273 - стр 
Ризоплан, Ж 197 - стр 
Риманол, ВДГ 610 - стр 
Римлин, ВДГ 614 - стр 
Римус, ВДГ 607 - стр 
Римэкс, ВДГ 609 - стр 
Ристайл, МД 691 - стр 
Ровраль, СП 245 - стр 
Рогор-С, КЭ 68 - стр 
Родимич, ВР 496 - стр 
Ромбус, КС 206 - стр 
Ромул, ВДГ 604 - стр 
Рондо, КЭ 526 - стр 
Ронилан, КС 208 - стр 
Росейт, ВР 435 - стр 
Рофатокс, Г 87 - стр 
Рубеж, Г 87 - стр 
Рузмин, ВР 459 - стр 
Рутамон, ВР 757 - стр 
Рэгги, ВРК 877 - стр 
Рэйнзон Плюс, ВРК 424 - стр 

С
Сабля, КС 138 - стр 
Сайдор, ВРК 87 - стр 
Сайрен, КЭ 149 - стр 
Сальдо, ВР 882 - стр 
Сальса Про, ВДГ 693 - стр 
Сальса, ВДГ 692 - стр 
Сальса, СП 692 - стр 
Самум, КЭ 105 - стр 
Санитар, ВДГ 354 - стр 
Санмайт, СП 125 - стр 
Санпэй, ВР 482 - стр 
Сансэр Ультра, КС 330 - стр 
САНТИ, ВР 429 - стр 
Санфло, ВДГ 644 - стр 
Сапресс, КЭ 863 - стр 
Сапфир, ВРК 513 - стр 
Сарейп, КЭ 20 - стр 
Сармат, КС 596 - стр 
Сарфун, СК 250 - стр  
Сварог, СЭ 398 - стр 
Свитч, ВДГ 384 - стр 
Сегмент, ВДГ 414 - стр 
Секатор Турбо, МД 414 - стр 
Секач, КЭ 526 - стр 
Секира Дуэт, КС 474 - стр 
Секира Элит, КЭ 700 - стр 
Секунда, КЭ 477 - стр 
Селект, КЭ 523 - стр 
Селектор, КЭ 522 - стр 
Селена, КЭ 617 - стр 
Селест Макс, КС 144 - стр 
Селест Макс, КС 144 - стр 
Селест Топ, КС 140 - стр 
Селест Топ, КС 140 - стр 
Селест Топ, КС 140 - стр 
Селест Топ, КС 140 - стр 
Семафор, ТПС 52 - стр 
Сенсей, КЭ 105 - стр 
Сера 400, КС 131 - стр 
Сера 400, КС 131 - стр 
Серенада АСО, КС 908 - стр 
Серкадис Плюс, КС 367 - стр 
Серкадис, КС 367 - стр 
Серп, ВРК 513 - стр 
Серпень, КС 275 - стр 
Серф-Экстра, ТКС 88 - стр 
Сигнум, ВДГ 221 - стр 
Сидоприд, ТС 87 - стр 
Сикурс, ВР 422 - стр 
Силар, ВР 281 - стр 
Силард, ВДГ 540 - стр 
Силацин, КРП, ТАБ 885 - стр 
Силач, ВР 470 - стр 
Силлит, КС 237 - стр 
Симба, КЭ 617 - стр 
Синбетан 22, КЭ 478 - стр 
Синбетан Эксперт ОФ, КЭ 700 - стр 
Синклер, СК 362 - стр 
Синтрон, КЭ 302 - стр 
Сириус, СП 592 - стр 
Сирокко, КЭ 65 - стр 
Сиртаки, МКС 531 - стр 
Систива, КС 367 - стр 
Скайвэй, КЭ 307 - стр 
Скальпель, КС 371 - стр 
Скарабей, СЭ 75 - стр 
Скарлет, МЭ 240 - стр 
Скаут Ультра, КЭ 674 - стр 
Сквош, КС 585 - стр 
Скиф, КЭ 289 - стр 
Скор, КЭ 223 - стр 
Скорошанс, КЭ 227 - стр 
Скорпио Супер, КЭ 671 - стр 
Скорый, КЭ 227 - стр 
Скрин, КС 553 - стр 
Скутум, СК 147 - стр 
Слизнеед Нео, Г 179 - стр 
Слизнякофф, Г 179 - стр 
Слоузен, ВДГ 615 - стр 
СмартФреш ПроТабс, ТАБ 720 - стр 
Снейк, РП 47 - стр 
Сойл Флюид, КС 556 - стр 
Сойл, ВДГ 561 - стр 
Сокол, КЭ 432 - стр 
Солам, КС 113 - стр 
Соланум, СП 259 - стр 
Солигор, КЭ 313 - стр 
Солист, ВРК 514 - стр 
Соната Супер, КЭ 432 - стр 
Сонхус, ВДГ 543 - стр 
Сотейра, ВРК 505 - стр 
Сочва, Ж 181 - стр 
Спарвиэро, МКС 105 - стр 
Спецназ 750, ВДГ 651 - стр 
Спикер, КЭ 486 - стр 
Спинтор 240, СК 129 - стр 
Спирит, СК 216 - стр 
Споробактерин, СП 194 - стр 
Спотлайт Плюс, МЭ 715 - стр 
