А
Абакус Прайм, СЭ 280 
Легион, КЭ 524 
Легион, КЭ 524 
Легионер, КЭ 679 
Лемур, КЭ 519 
Лентагран 600, КЭ 592 
Лепидобактоцид, Ж 9 
Лепидоцид, П 9 
Лептоцид, Ж 14 
Лерашанс, ВР 545 
Либертадор, СК 381 
Лигат, КЭ 528 
Лидер, КЭ 698 
Ликвидатор, ВР 428 
Линтаплант, ВК 579 
Линтур, ВДГ 487 
Лирум, СК 153 
Листего Про, ВР 500 
Логано, КС 547 
Логран, ВДГ 639 
Локустин, КС 74 
Лонган, ВР 533 
Лонтерр, ВДГ 534 
Лонтрел гранд, ВДГ 535 
Лонтрел-300, ВР 531 
Лорнет, ВР 532 
Лост, ВР 708 
Лост, ВР 708 
Луна Транквилити, КС 369 
Луна Экспириенс, КС 369 
Люгер, СЭ 396 
Люмакс, СЭ 620 
Люмипоса, ТС 153 
Люмисена, ТС 274 
Люфокс, КЭ 146 
Лямбда-С, КЭ 105 

М
Маврик, ВЭ 131 
Магна, ТАБ 115 
Магнат Тотал, КС 366 
Магнелло, КЭ 229 
Магнифос, ТАБ 117 
Магнум Супер, ВДГ 657 
Магнум, ВДГ 564 
Магтоксин, ТАБ 115 
Мадекс Твин, СК 53 
Маис, СТС 609 
МайсТер Пауэр, МД 686 
МайсТер, ВДГ 686 
Макси Злак, КЭ 522 
Максим 480, КС 361 
Максим Адванс, КС 335 
Максим Голд, КС 364 
Максим Дачник, КС 361 
Максим Кватро, КС 335 
Максим Плюс, КС 231 
Максим Плюс, КС 231 
Максим Форте, КС 365 
Максим Экстрим, КС 366 
Максим, КС 361 
Малахит, ВДГ 554 
Малвин, ВДГ 247 
Малибу, ВДГ 662 
Мамба, КЭ 25 
Манзат, ВДГ 257 
Манифест, ВДГ 260 
Манкодим, СП 258 
Манкоцеб, СП 257 
Мантра, ВРК 506 
Манфил, СП 257 
Мариус, КС 554 
Масай, СП 132 
МатринБио, ВР 122 
Матрица Роста, ВРК 858 
Матч, КЭ 102 
Маэстро, КЭ 301 
Мегалит, ВР 545 
Мегаполис, ВР 473 
Мегаполис, ВР 473 
Медвегон, Г 60 
Медветокс, Г 59 
Медея, МЭ 231 
Мезокорн, КС 547 
Меис, КС 547 
Мекар, МЭ 22 
Мелафен, ВР 810 
Мелион, КС 587 
Мелория, КС 141 
Меридиан, ВР 544 
Мерлин Флекс, КС 492 
Мерлин, ВДГ 491 
Мерпан, СП 247 
Мессер, МЭ 365 
Мессидор, КС 856 
Метабактерин, СП 194 
Метабром-РФО, Газ 159 
Метаксил, СП 259 
МетАлт, ВДГ 563 
Метамил МЦ, ВДГ 259 
Метаризин, Ж 16 
Метарон, ВДГ 553 
Метас, ВР 501 
Метафол, СК 554 
Меташанс, СП 259 
Метеор, СП 263 
Меткий, МД 549 
Метметил, ВДГ 572 
Метолс, КЭ 618 
Метомакс, КС 124 
Метрифар 70, ВГ 556 
Метроном, КС 553 
Мивал-Агро, КРП 818 
Мидас, СЭ 413 
Микромецен, ВР 814 
Микротиол Специаль, ВДГ 312 
Миксанил, КС 381 
МиксФил, КС 209 
Милагро Плюс, МД 487 
Милафорт, КС 585 
Милдикат, КС 377 
Миледи, КС 583 
Милена, КС 584 
Минотавр, ВДГ 552 
Минхати, КС 371 
Миравис Нео, СЭ 290 
Миравис, СК 276 
Мистерия, МЭ 281 
Мистраль Топ, КС 563 
Митар, ВДГ 342 
Митрон, КС 552 
Миура, КЭ 688 
Мицефит, ВРП 861 
Мовенто Энерджи, КС 130 
Моддус, КЭ 863 
Модерн, КЭ 404 
Модесто Плюс, КС 102 
Модесто Плюс, КС 102 
Модесто, КС 99 
Моксимэйт, СП 261 
Молетокс, КЭ 157 
Молния Экстра, КЭ 156 
Молния, КЭ 106 
Молоток, ВР 711 
Момус, ВРК 581 
Монарх, ВДГ 147 
Монолит, ВДГ 541 
Мономакс, ВР 483 
Мономакс, ВР 483 
Морион, СК 493 
Мортира, ВДГ 648 
Морторат, Г 171 
Моспилан, РП 47 
Мохофф, МКЭ 589 
Муравьин Форте, Г 81 
Муравьин, Г 58 
Мурал, ВР 485 
Мухоед, Г 58 
Мушкет Плюс, МД 391 
Мэр, КС 557 
 
Н
Наномет, СП 570 
Наношанс, ВР 422 
Напалм-480, ВР 436 
Нарвал, КС 587 
Нарис, СК 427 
Наутиль, ВДГ 262 
Нексус, ВР 683 
Нематофагин-Микопро, П 165 
Неофрал, КЭ 26 
Нерта, КС 493 
Нертус ПланетаПег, Ж 855 
Никобел, КС 585 
Никос, КС 586 
Никосав, МД 586 
Ниссин Экстра, МД 585 
Ниссин, КС 585 
Ниссоран, СК 55 
Новинс, КС 73 
Новосил, ВЭ 863 
Новус-Ф, КС 375 
Номини Суприм, СЭ 550 
Номини, СК 427 
Нопас, ВЭ 205 
Нопасаран Ультра, КС 520 
Нопасаран, КС 550 
Нор-Би, СП 220 
Норат, Г 175 
Норвел, КЭ 690 
НордСтрим, ВДГ 591 
Норман, ВДГ 645 
Нунчак, КЭ 144 
Нурбел, КЭ 151 
Нуримет Экстра, КЭ 151 
Нэо, ВДГ 587 
 
О
ОбеpeгЪ, Р 757 
Оберон Рапид, КС 22 
Обстактин, ВР 737 
Обстормон, ВР 737 
Овен, КЭ 529 
Овсюген Супер, КЭ 666 
Овсюген Экспресс, КЭ 665 
Одиссей, ВГР 515 
Оксихом, ВДГ 265 
Оксихом, СП 265 
Октава, МД 588 
Октапон экстра, КЭ 390 
Октапон-супер, КЭ 390 
Октасулам, СЭ 398 
Октиген, КЭ 391 
Олимп, ВДГ 663 
Омайт, ВЭ 128 
Оперкот Акро, КС 93 
Оперкот, КЭ 106 
Оплот Трио, ВСК 230 
Оплот, ВСК 228 
Опричник, СЭ 397 
Оптимо, КЭ 277 
Оптимум, ВР 482 
Орбита Люкс, КЭ 145 
Орбита, КЭ 57 
Орвего, КС 221 
Оргамика С, Ж 184 
Оргамика Ф, Ж 933 
Органза, КС 111 
Ордан МЦ, СП 261 
Ордан, СП 271 
Ореол, КЭ 432 
Оризан, МСК 416 
Орикс, КЭ 673 
Орион, КЭ 431 
Орлан, МК 551 
Ортус, СК 146 
Осирис, КЭ 386 
Оскар, КЭ 280 
Острог, МК 26 
Отличник, КЭ 687 
Оцелот Плюс, КЭ 668 
Оцелот, КЭ 668 

П
Палица, Г 164 
Палко, КС 833 
Паллас 45, МД 592 
Пальмира, СЭ 405 
Пантера, КЭ 518 
Пантера, КЭ 518 
Панцирь, КС 138 
Парадокс, ВРК 496 
Партенокарпин-Био, Р 738 
Патрий, КЭ 154 
Патрон, ВДГ 634 
Пеннкоцеб, СП 257 
Пергадо Зокс, ВДГ 256 
Пергадо М, ВДГ 256 
Пешка-С, серная насыпная шашка 311 
Пешка-С, серная насыпная шашка 311 
Пивот, ВК 511 
Пик, ВДГ 600 
Пикет, КЭ 29 
Пикокарб, СК 283 
Пиксель, МД 636 
Пиктор Актив, КС 278 
Пиктор, КС 222 
Пилот, ВСК 552 
Пиноцид, СК 33 
Пинта, МД 681 
Пионер, КС 336 
Пиранья, КЭ 589 
Пирафикс, КЭ 278 
Пирелли, КЭ 150 
Пиригрэн 50, Ж 126 
Пиринекс Супер, КЭ 150 
Питомец, КС 139 
Питон, КЭ 598 
Плантарел, ВР 805 
Плантенол, КЭ 226 
Пледж, СП 681 
Плектор, ВДГ 478 
Пленум, ВДГ 125 
Плодостим, КРП 774 
Плуггер, ВДГ 658 
Подмарин, КЭ 401 
Позитив Плюс, КС 595 
Покровитель, КС 95 
Покровитель, КС 95 
Полар 50, ВГ 204 
Поларис Кватро, СМЭ 49 
Поларис Кватро, СМЭ 49 
Поларис, МЭ 308 
Полгар 7.5, КЭ 676 
Полгар, КЭ 675 
Полирам ДФ, ВДГ 272 
Полис, ВР 708 
Пондус, КС 133 
Пончо Бета, КС 99 
Пончо, КС 98 
Почин, Г 59 
Почкорост, ПС 883 
Премис Двести, КС 347 
Премьер 300, ВР 539 
Премьера, СЭ 398 
Препарат 30 Плюс, ММЭ 53 
Престиж, КС 94 
Престиж, КС 94 
Префект, ВДГ 603 
Приаксор, КЭ 279 
Приам, КЭ 382 
Привент, СП 346 
Приклад, ВДГ 536 
Прима Форте 195, СЭ 391 
Прима, СЭ 405 
Примавера, СЭ 408 
Примадонна Супер, ККР 406 
Примадонна, СЭ 405 
Примэкс, КС 347 
Приоритет, КС 583 
Пришанс, СЭ 407 
Провизор, СК 206 
Провотокс, Г 60 
Прогноз, КЭ 286 
Прозаро Квантум, КЭ 305 
Прозаро, КЭ 304 
Проклэйм Фит, ВДГ 256 
Проклэйм, ВРГ 158 
Прокроп, КЭ 126 
Проксима, КС 366 
Прокул, КЭ 598 
Промекс, КС 595 
Промет, КС 595 
Прометей, ВДГ 650 
Прометрин, СК 594 
Промобел, КС 594 
Пронто, КЭ 598 
Пропи Плюс, КЭ 286 
Пропишанс Супер, КЭ 300 
Пропишанс Универсал, КМЭ 293 
ПропиШанс, КЭ 289 
Пропонит Дуо, КЭ 600 
Пропонит, КЭ 598 
Пропульс, СЭ 369 
Пропус, ВР 495 
Проросток, Р 763 
Протазокс, КС 209 
Протего Макс, МЭ 302 
Протект Форте, ВСК 377 
Протект, КС 362 
Протеус, МД 133 
Протон Экстра, ВДГ 266 
Протон, СП 266 
Профи Супер, КЭ 297 
Профи Форте, КМЭ 294 
Профи, КЭ 287 
Профикс, КЭ 286 
Профилактин Био, ВЭ 53 
Профилактин Лайт, ВЭ 52 
Профит Голд, ВДГ 354 
Псевдобактерин-2, Ж 195 
Псевдобактерин-2, ПС 195 
Псевдобактерин-3, Ж 196 
Пугил 500, КС 381 
Пульмакс, ВРК 502 
Пульс-Стар, ВР 495 
Пульсар Плюс, ВР 494 
Пульсар Старт, ВРК 495 
Пульсар, ВР 493 
Пума Голд, КЭ 673 
Пума Плюс, КЭ 583 
Пума Супер 100, КЭ 675 
Пума Супер 7.5, ЭМВ 675 

Р
Рабона, СЭ 308 
Раёк, КЭ 226 
Разряд, Г 81 
Раймир, КЭ 150 
Раксил Ультра, КС 322 
Раксон, КС 320 
Ракурс, СК 388 
Раназол Ультра, КС 318 
Ранголи Галситил, КЭ 431 
Ранголи-Базорон, ВР 422 
Ранголи-Гильотина, ВДГ 556 
Ранголи-Глифосат 480, ВР 442 
Ранголи-Дункан, КЭ 67 
Ранголи-Имидоклоприд, ВРК 88 
Ранголи-Курсор, КЭ 227 
Ранголи-Метамитрон, КС 554 
Ранголи-Норил, КЭ 151 
Ранголи-Прадо, ВРК 514 
Ранголи-Реголон, ВР 706 
Ранголи-Таргон-С, КЭ 690 
Ранголи-Тиран, ВДГ 604 
Ранголи-Трибенурон, ВДГ 653 
Ранголи-Ципрос, КЭ 297 
Ранман Топ, КС 381 
Рап 600, ВР 470 
Рапид Голд Плюс, СП 271 
Рапид Голд, СП 261 
Рапид Дуэт, СП 258 
Рапид Микс, СП 259 
Рапира, КЭ 390 
РапсАгро, ВР 545 
Рапсан, ВР 544 
Ратник, КЭ 702 
Раттидион, Г 176 
Раттикум, Концентрат 173 
Рауль, ВР 443 
Раундап Макс, ВР 436 
Раундап, Гель 429 
Ребелл Т, КС 520 
Ревиона, КС 576 
Ревус Топ, СК 256 
Ревус, КС 256 
Регалис Плюс, ВДГ 856 
Регалис, ВДГ 856 
Регент, ВДГ 147 
Регистан, ВРК 711 
Реглон Форте, ВР 490 
Реглон Форте, ВР 490 
Реглон Эйр, ВР 707 
Регулар, ВРП 798 
Регулят Супер, ВР 713 
Редиго М, КС 306 
Редиго Про, КС 305 
Редут, КС 318 
Результат Супер, ВР 712 
Рейсер, КЭ 682 
Рекрут, КС 386 
Рекс Плюс, СЭ 387 
Рекс Плюс, СЭ 387 
Рекс С, КС 386 
Ректон, ВР 709 
Ректор, КС 95 
Ректор, КС 95 
Рембек, Г 81 
Репер Трио, МД 546 
Репер, ККР 546 
Респект, КС 94 
Респект, КС 94 
Респекта, Ж 915 
Рессиви, КС 218 
Рестарт, Ж 754 
Ретацел, ВК 874 
Рефери, ВГР 485 
Риас, КЭ 228 
Рибав-Экстра, P 749 
Ридомил Голд МЦ, ВДГ 260 
Ридомил Голд Р, ВДГ 273 
Ризоплан, Ж 197 
Риманол, ВДГ 610 
Римлин, ВДГ 614 
Римус, ВДГ 607 
Римэкс, ВДГ 609 
Ристайл, МД 691 
Ровраль, СП 245 
Рогор-С, КЭ 68 
Родимич, ВР 496 
Ромбус, КС 206 
Ромул, ВДГ 604 
Рондо, КЭ 526 
Ронилан, КС 208 
Росейт, ВР 435 
Рофатокс, Г 87 
Рубеж, Г 87 
Рузмин, ВР 459 
Рутамон, ВР 757 
Рэгги, ВРК 877 
Рэйнзон Плюс, ВРК 424 

С
Сабля, КС 138 
Сайдор, ВРК 87 
Сайрен, КЭ 149 
Сальдо, ВР 882 
Сальса Про, ВДГ 693 
Сальса, ВДГ 692 
Сальса, СП 692 
Самум, КЭ 105 
Санитар, ВДГ 354 
Санмайт, СП 125 
Санпэй, ВР 482 
Сансэр Ультра, КС 330 
САНТИ, ВР 429 
Санфло, ВДГ 644 
Сапресс, КЭ 863 
Сапфир, ВРК 513 
Сарейп, КЭ 20 
Сармат, КС 596 
Сарфун, СК 250 
Сварог, СЭ 398 
Свитч, ВДГ 384 
Сегмент, ВДГ 414 
Секатор Турбо, МД 414 
Секач, КЭ 526 
Секира Дуэт, КС 474 
Секира Элит, КЭ 700 
Секунда, КЭ 477 
Селект, КЭ 523 
Селектор, КЭ 522 
Селена, КЭ 617 
Селест Макс, КС 144 
Селест Макс, КС 144 
Селест Топ, КС 140 
Селест Топ, КС 140 
Селест Топ, КС 140 
Селест Топ, КС 140 
Семафор, ТПС 52 
Сенсей, КЭ 105 
Сера 400, КС 131 
Сера 400, КС 131 
Серенада АСО, КС 908 
Серкадис Плюс, КС 367 
Серкадис, КС 367 
Серп, ВРК 513 
Серпень, КС 275 
Серф-Экстра, ТКС 88 
Сигнум, ВДГ 221 
Сидоприд, ТС 87 
Сикурс, ВР 422 
Силар, ВР 281 
Силард, ВДГ 540 
Силацин, КРП, ТАБ 885 
Силач, ВР 470 
Силлит, КС 237 
Симба, КЭ 617 
Синбетан 22, КЭ 478 
Синбетан Эксперт ОФ, КЭ 700 
Синклер, СК 362 
Синтрон, КЭ 302 
Сириус, СП 592 
Сирокко, КЭ 65 
Сиртаки, МКС 531 
Систива, КС 367 
Скайвэй, КЭ 307 
Скальпель, КС 371 
Скарабей, СЭ 75 
Скарлет, МЭ 240 
Скаут Ультра, КЭ 674 
Сквош, КС 585 
Скиф, КЭ 289 
Скор, КЭ 223 
Скорошанс, КЭ 227 
Скорпио Супер, КЭ 671 
Скорый, КЭ 227 
Скрин, КС 553 
Скутум, СК 147 
Слизнеед Нео, Г 179 
Слизнякофф, Г 179 
Слоузен, ВДГ 615 
СмартФреш ПроТабс, ТАБ 720 
Снейк, РП 47 
Сойл Флюид, КС 556 
Сойл, ВДГ 561 
Сокол, КЭ 432 
Солам, КС 113 
Соланум, СП 259 
Солигор, КЭ 313 
Солист, ВРК 514 
Соната Супер, КЭ 432 
Сонхус, ВДГ 543 
Сотейра, ВРК 505 
Сочва, Ж 181 
Спарвиэро, МКС 105 
Спецназ 750, ВДГ 651 
Спикер, КЭ 486 
Спинтор 240, СК 129 
Спирит, СК 216 
Споробактерин, СП 194 
Спотлайт Плюс, МЭ 715 
Спрут Экстра, ВР 467 
Спрут, ВР 434 
Стабилан, ВР 874 
Сталкер, ВДГ 647 
Стандак Топ, КС 148 
Старане Премиум 330, КЭ 683 
Старбокс, СТС 650 
Статус Гранд, ВДГ 659 
Статус Макс, ВДГ 635 
Статус Фло, КЭ 391 
Стеллар Плюс, ВРК 488 
Стеллар, ВРК 486 
Стернифаг, СП 198 
Стилет, МД 97 
Стиммунол ЕФ, Ж 753 
Стимулэйт, Ж 738 
Стингер Трио, КС 334 
Стингер, КС 321 
Стожар, РП 48 
Стомп Профессионал, МКС 589 
СтопУлит, Г 179 
Страйк Форте, КС 329 
Стратег, КС 586 
Стратос Ультра, КЭ 691 
Стрекар, КС 357 
Стриж, ВДГ 428 
Стрим, КЭ 618 
Стрит, КС 88 
Строби, ВДГ 254 
Стробитек Мульти, КС 291 
Стробитек, ВДГ 255 
Стробишанс Про, СК 214 
Султан, СК 550 
Суми-альфа, КЭ 157 
Сумитион, КЭ 144 
Супер Альянс, КЭ 299 
Суперкилл, КЭ 151 
Суперкорн, МД 549 
Суперстар, ВДГ 647 
Суховей, ВР 707 
Суховей, ВР 707 
Сфера макс, КС 351 
Сфинкс, КС 314 
Сценик Комби, КС 102 
Сценик Комби, КС 102 
Сэмпай, КЭ 158 

Т
Табазол, П 124 
ТабаМин, ВРК 125 
Табачная пыль, П 125 
Табу Нео, СК 92 
Табу Супер, СК 95 
Табу, ВСК 77 
Тагор, КЭ 65 
Тайгер 100, КЭ 671 
Тайгер, ЭМВ 671 
Тайпан, КЭ 674 
Тайра, КЭ 149 
Тайфун, ВР 461 
Тайшин, ВДГ 98 
Такер, КС 98 
Талака 100, КЭ 672 
Талант, СК 379 
Талисман, МД 587 
Талиус, КЭ 283 
Таллер, ВДГ 655 
Талстар, КЭ 51 
Тандем, ВДГ 659 
Танит, МД 625 
Танос, ВДГ 351 
Таношанс, ВДГ 353 
Танрек, ВРК 81 
Танто, ККР 416 
Тапир Гибрид, МК 516 
Тапир, ВК 511 
Тапирошанс, ВРК 513 
Таран, ВЭ 76 
Тарга Супер, КЭ 687 
Таргет Супер, КЭ 688 
Тачдаун, ВР 449 
Тачигарен, СП 221 
Тачигарен, СП 221 
Твинго Евро, МД 73 
Твинго, КС 75 
Тебаз Про, СК 211 
Тебу 60, МЭ 321 
Тебузан, ТКС 317 
Тебузил, ТКС 241 
Тебузол, ВЭ 320 
Тебуконазол, КС 317 
Тезис, ВДГ 615 
Тейя, КС 133 
Телус, КЭ 617 
Тельдор, ВДГ 354 
Темифлю, КС 140 
Терапевт Про, КС 255 
Тердок, КЭ 529 
Террагард, СЭ 620 
Террадим, КЭ 63 
Террадокс, Г 60 
Террамет, ВДГ 563 
Террасил Форте, КС 329 
Террасил, КС 321 
Террастар, ВДГ 643 
Терция, СК 309 
Тефлутрин, МКС 132 
Тиазол, КС 336 
Тиамакс, КС 138 
Тиара, КС 137 
Тибор, КЭ 70 
Тигран Экстра, КЭ 674 
Тигран, КЭ 669 
Тигрис, ВР 424 
Тилт Турбо, КЭ 357 
Тилт, КЭ 285 
Тиматерр, КС 139 
Тимус, КЭ 287 
Тиовит Джет, ВДГ 311 
Тир, ТПС 344 
Тирада, СК 343 
Тирам, ВСК 342 
Тираназор, КЭ 399 
Титан, КЭ 290 
Титул 390, ККР 288 
Титул Дуо, ККР 294 
Титул Трио, ККР 327 
Титус Плюс, ВДГ 485 
Титус, СТС 605 
Тифенс Классик, ВДГ 638 
Тифенс, ВДГ 626 
Тифи, ВДГ 626 
ТифилАгро, ВДГ 630 
ТМТД, ВСК 341 
ТМТД, ТПС 342 
ТМТД-плюс, КС 342 
Тод, КЭ 65 
Толазин, СЭ 619 
Томатон, Р 738 
Тонгара, ВР 709 
Тонус, ВДГ 352 
Топаз, КЭ 274 
Топик, КЭ 529 
Топсин-М, КС 341 
Топсин-М, СП 341 
Топтун 100, КЭ 676 
Топтун, КЭ 393 
Топшот 113, МД 691 
Тореадор Макси, КС 88 
Торег, КЭ 110 
Тореро, КС 562 
Торнадо 500, ВР 438 
Торнадо, ВР 439 
Тотал 480, ВР 450 
Тотал, ВР 441 
ТРАНШ Супер, СК 551 
Трафик, ВРК 810 
Трейсер, КЭ 531 
ТриАгро, КС 213 
Триада, ККР 295 
Триактив Экстра, КС 215 
Триактив, КС 212 
ТриАлт, ВДГ 652 
Трианум Г, Г 201 
Триас, ВДГ 640 
Трибел, ВДГ 642 
Трибинстар, ВДГ 653 
Трибун, СТС 645 
Трибунал, ВДГ 653 
Трибьют, ВГ 635 
Тридим, КС 345 
Тризлак, ВДГ 654 
Тример, ВДГ 607 
Триметил, ВДГ 642 
Тринити, КЭ 702 
Трисил, ВДГ 635 
Тристар, КС 595 
Тритон, КС 333 
Триходерма Вериде 471, СП 201 
Трихоплант, СК 203 
Трихофит Плюс, Ж 201 
Трихоцин, СП 200 
Трицепс, ВДГ 661 
Туарег, СМЭ 92 
Туарег, СМЭ 92 
Тузол, КЭ 297 
Турион, КЭ 238 

У
УкоренитЪ, СП 735 
Укротитель, КЭ 669 
Улис, ВДГ 353 
Ультор, МД 130 
Универсал, КС 318 
Унико, ККР 683 

Ф
Фабиан, ВДГ 516 
Фабрис, ЭМВ 671 
Фаворит Трио, КС 333 
Фазис, ВДГ 146 
Фазор, ВГ 810 
Файтер, ВР 462 
Факел Экстра, ВР 452 
Факел, ВР 441 
Факел, ВР 441 
Фактория, МКС 142 
Фалькон, КЭ 312 
Фамокс, ВДГ 352 
Фанданго, КЭ 307 
Фараон Супер, КС 330 
Фараон, КЭ 315 
Фарго, КС 330 
Фарди, КЭ 226 
Фармайод, ГР 245 
ФАС, серная шашка 128 
ФАС, серная шашка 128 
Фаскорд, КЭ 26 
Фастак, КЭ 27 
Фасшанс, КЭ 29 
Фатрин, КЭ 28 
Фаэтон, КС 586 
Фезан 250, КЭ 323 
Фенизан, ВР 489 
Феникс Дуо, КС 341 
Феникс, КЭ 529 
Феноксоп 100, КЭ 670 
Феразим Грин, КС 251 
Феразим, КС 248 
Ферат, ВДГ 654 
Фея, КЭ 306 
Фидес, КЭ 677 
Филдер 69, ВГ 258 
Фильтерр, КЭ 300 
Фирман, ВР 684 
Фист, КЭ 589 
Фитоверм М, КЭ 17 
Фитоверм Форте, КЭ 20 
Фитоверм, KЭ (10 г/л) 18 
Фитоверм, KЭ (50 г/л) 19 
Фитоверм, КЭ 16 
Фитоверм, П 164 
Фитолавин, ВРК 355 
Фитолекарь, КС 373 
Фитомаг, П 720 
Фитомаг, ТАБ 721 
Фитомаг-Пак, П 721 
Фитомаг-Эко, П 721 
Фитоплазмин, ВРК 264 
Фитоспорин-АС, Ж 929 
Фитоспорин-М, Ж 917 
Фитоспорин-М, П 921 
Фитоспорин-М, ПС 921 
Фитотрикс, Ж 934 
ФлагАгро, ТАБ 33 
Флагман, КС 677 
ФлангАгро, КЭ 432 
Флекс, ВР 684 
Флексити, КС 273 
Флинт, ВСК 389 
Флокс, ВДГ 384 
Флоракс, КС 412 
Флорастар, СЭ 399 
Флорин, СЭ 401 
Флоробел, СЭ 413 
Флоробел, СЭ 413 
Флортек, СЭ 400 
Флуафол, КС 373 
Флудимакс, КС 363 
Флуорон, ВДГ 663 
Флуплант, КС 372 
Флутеприд, ТС 96 
Флутеприд, ТС 96 
Флутривит, КС 372 
Флутриобел, КС 374 
Флуцит, КС 337 
Флюенс, ВДГ 654 
Фокстрот Турбо, КЭ 670 
Фокстрот Экстра, КЭ 673 
Фокстрот, ВЭ 665 
Фоликур, КЭ 317 
Фомаз, ВР 684 
Фомесан, ВР 684 
Фомесофт, ВК 684 
Фонтелис, КС 275 
Форвард, МКЭ 689 
Форинт, ВДГ 663 
Форис, КС 374 
Форс Зеа, КС 143 
Форс, Г 132 
Форс, МКС 132 
Форсер Энто, КС 88 
Фортенза, КС 153 
Фортис, КС 596 
Фортуна Глобал, ВДГ 258 
Фортуна Голд, ВДГ 261 
Фортуна Экстра, ВДГ 260 
Фоском, ТАБ 36 
Фостоксин, ТАБ 37 
Фостран, КЭ 68 
Фосфин, ТАБ 38 
Фразол Классик, КС 323 
Фразол, КС 325 
Франкорн, КС 547 
Фреш Форма, П 721 
Фронтьер Оптима, КЭ 490 
Фуджи 1, КЭ 238 
Фултайм, МД 549 
Фумифаст, ТАБ 39 
Фумифос, ТАБ 43 
Фумишанс, ТАБ 43 
Фумфайтер, ТАБ 37 
Фунгисил, КЭ 301 
Фундазол, СП 220 
Фуролан, Ж 723 
Фурон, ВДГ 663 
Фуроре Ультра, ЭМВ 664 
Фуфанон Эксперт, ВЭ 121 
Фуфанон, КЭ 120 
Фуфанон-Нова, ВЭ 120 
Фьюри, ВЭ 76 
Фюзилад Супер, КЭ 678 
Фюзилад Форте, КЭ 677 

Х
Х-Панд, Ж 779 
Х-Сайт, Ж 738 
Хайджек, КС 340 
Хайп, КС 350 
Хакер 300, ВР 537 
Хакер, ВРГ 536 
Харвест Смарт, П 721 
Харвест-Макс, Р 879 
Харита, КС 139 
Хармони Про, ВДГ 627 
Хармони, СТС 627 
Хатор, ВР 539 
Хевимет Голд, КС 619 
Хевимет, КЭ 617 
Хевимет, КЭ 617 
Хеликовекс, СК 54 
Хет-Трик, СК 92 
Хилер, МКЭ 519 
ХимАгроМаркетинг Тиабен Т, ТКС 334 
Химера, КЭ 689 
Химстар, ВДГ 652 
Хинуфур, КС 246 
Хит, СП 574 
Хищник, Г 180 
Хлорошанс, СП 267 
Хлорпирифос, КЭ 150 
Хомоксил, ВДГ 267 
Хорист, ВДГ 382 
Хорс Д, КС 486 
Хорс, ВДГ 584 
Хортон, КС 383 
Хорус, ВДГ 383 
Хранитель, КЭ 226 
ХЭФК, ВР 879 

Ц
Царумин, ВК 581 
Цаца, ПС 779 
Цветень, КРП 770 
Цветолюкс Бау, ВР 82 
Цегран, ВК 876 
Цезарь, КЭ 30 
Целитель, ВДГ 353 
Цензор Макс, МКЭ 524 
Центрино, ВК 874 
Центурион Нео, КЭ 525 
Центурион Профи, КЭ 525 
Центурион, КЭ 524 
Цепеллин Эдванс, КЭ 110 
Цепеллин, КЭ 27 
Цериакс Плюс, КЭ 386 
Ци-Альфа, КЭ 28 
Цидели Топ, ДК 237 
Циклон, КЭ 152 
Цимус Прогресс, КЭ 298 
Цимус, КС 385 
Циперус, КЭ 154 
Ципи Плюс, КЭ 151 
Ципи, КЭ 24 
Циракс, КЭ 155 
Циркон, Р 785 
Цитадель 25, МД 591 
Цитодеф-100, ВРП 754 
Цитокс, КЭ 156 
Цихом, СП 270 
Цицерон, ВДГ 614 
Цукрон+, ВР 541 
Цунами, КЭ 27 

Ч
Чемп ДП, ВДГ 264 
Чермен, ВДГ 540 
Чисталан экстра, КЭ 410 
Чисталан, КЭ 410 
Чисталан-супер, КЭ 411 
Чистогряд, ВР 428 
Чистосад, КС 270 
Чистофлор, КЭ 290 
Чистоцвет БАУ, ВР 289 
Чистоцвет, КЭ 228 

Ш
Шаман, КЭ 151 
Шанс 24, КЭ 403 
Шанс ДКБ, ВР 483 
Шанс Профи, ВДГ 147 
Шансгард, КС 594 
Шансил Трио, КС 333 
Шансил Ультра, КС 319 
Шансилин, ВДГ 73 
Шанситек, КЭ 22 
Шансометокс Трио, КС 140 
Шансометокс Трио, КС 140 
Шансомитрон, КС 554 
Шанстар Плюс, ВДГ 660 
Шанстар, ВДГ 650 
Шансти, ВДГ 629 
Шансюген, ВЭ 669 
Шантус, ВДГ 612 
Шарпей, МЭ 155 
Шин-Етсу МД ВП ТТ, Д 182 
Шин-Етсу МД Дуо ТТ, Д 182 
Шин-Етсу МД Л, Д 182 
Шин-Етсу МД СТТ, Д 182 
Ширлан, СК 358 
Ширма, КС 357 
Шквал, ВК 507 
Шкипер, ВР 545 
Шогун, КЭ 597 
Шпага, КС 381 

Э
Эвентус, МЭ 427 
Эверест, ВДГ 680 
Эвито Т, КС 324 
Эволюшн, КЭ 529 
Эгида, СК 547 
Эйс, ККР 325 
Эквит, ВР 711 
Экогель экстра, ВР 808 
ЭкоЛарикс, ВРП 799 
Экономикс Колор, КС 319 
Экопин, ТПС 849 
Экселент, КС 276 
Эксифир, КЭ 390 
Эксперт 22, КЭ 473 
Эксперт Некст, КС 477 
Эксперт Трио ОФ, КЭ 698 
Экспресс Голд, ВДГ 657 
Экспресс, ВДГ 654 
